20210308T,"$6,657,773,356","$6,657,773,356","$6,657,773,356","$6,657,773,356",0
20210309T,"$7,776,184,983","$7,776,184,983","$7,776,184,983","$7,776,184,983",0
20210310T,"$7,446,831,675","$7,446,831,675","$7,446,831,675","$7,446,831,675",0
20210311T,"$7,232,723,297","$7,232,723,297","$7,232,723,297","$7,232,723,297",0
20210312T,"$7,201,587,925","$7,201,587,925","$7,201,587,925","$7,201,587,925",0
20210313T,"$7,094,349,921","$7,094,349,921","$7,094,349,921","$7,094,349,921",0
20210314T,"$7,750,447,457","$7,750,447,457","$7,750,447,457","$7,750,447,457",0
20210315T,"$7,610,317,578","$7,610,317,578","$7,610,317,578","$7,610,317,578",0
20210316T,"$7,324,737,827","$7,324,737,827","$7,324,737,827","$7,324,737,827",0
20210317T,"$7,556,337,742","$7,556,337,742","$7,556,337,742","$7,556,337,742",0
20210318T,"$7,517,749,273","$7,517,749,273","$7,517,749,273","$7,517,749,273",0
20210319T,"$7,429,523,848","$7,429,523,848","$7,429,523,848","$7,429,523,848",0
20210320T,"$7,528,469,477","$7,528,469,477","$7,528,469,477","$7,528,469,477",0
20210321T,"$7,634,534,868","$7,634,534,868","$7,634,534,868","$7,634,534,868",0
20210322T,"$7,393,832,359","$7,393,832,359","$7,393,832,359","$7,393,832,359",0
20210323T,"$7,186,846,706","$7,186,846,706","$7,186,846,706","$7,186,846,706",0
20210324T,"$6,929,411,776","$6,929,411,776","$6,929,411,776","$6,929,411,776",0
20210325T,"$6,729,987,270","$6,729,987,270","$6,729,987,270","$6,729,987,270",0
20210326T,"$6,575,327,768","$6,575,327,768","$6,575,327,768","$6,575,327,768",0
20210327T,"$6,940,289,325","$6,940,289,325","$6,940,289,325","$6,940,289,325",0
20210328T,"$6,962,666,598","$6,962,666,598","$6,962,666,598","$6,962,666,598",0
20210329T,"$7,015,286,858","$7,015,286,858","$7,015,286,858","$7,015,286,858",0
20210330T,"$7,079,729,288","$7,079,729,288","$7,079,729,288","$7,079,729,288",0
20210331T,"$7,046,811,980","$7,046,811,980","$7,046,811,980","$7,046,811,980",0
20210401T,"$7,014,689,873","$7,014,689,873","$7,014,689,873","$7,014,689,873",0
20210402T,"$7,924,888,033","$7,924,888,033","$7,924,888,033","$7,924,888,033",0
20210403T,"$7,507,812,668","$7,507,812,668","$7,507,812,668","$7,507,812,668",0
20210404T,"$7,298,466,979","$7,298,466,979","$7,298,466,979","$7,298,466,979",0
20210405T,"$7,463,266,116","$7,463,266,116","$7,463,266,116","$7,463,266,116",0
20210406T,"$7,715,037,292","$7,715,037,292","$7,715,037,292","$7,715,037,292",0
20210407T,"$8,342,298,640","$8,342,298,640","$8,342,298,640","$8,342,298,640",0
20210408T,"$7,655,108,665","$7,655,108,665","$7,655,108,665","$7,655,108,665",0
20210409T,"$7,962,866,152","$7,962,866,152","$7,962,866,152","$7,962,866,152",0
20210410T,"$7,936,596,412","$7,936,596,412","$7,936,596,412","$7,936,596,412",0
20210411T,"$8,249,317,321","$8,249,317,321","$8,249,317,321","$8,249,317,321",0
20210412T,"$9,687,276,639","$9,687,276,639","$9,687,276,639","$9,687,276,639",0
20210413T,"$9,196,724,800","$9,196,724,800","$9,196,724,800","$9,196,724,800",0
20210414T,"$12,113,258,471","$12,113,258,471","$12,113,258,471","$12,113,258,471",0
20210415T,"$15,701,118,351","$15,701,118,351","$15,701,118,351","$15,701,118,351",0
20210416T,"$22,780,764,221","$22,780,764,221","$22,780,764,221","$22,780,764,221",0
20210417T,"$48,767,205,447","$48,767,205,447","$48,767,205,447","$48,767,205,447",0
20210418T,"$37,483,584,822","$37,483,584,822","$37,483,584,822","$37,483,584,822",0
20210419T,"$41,360,056,945","$41,360,056,945","$41,360,056,945","$41,360,056,945",0
20210420T,"$53,086,953,476","$53,086,953,476","$53,086,953,476","$53,086,953,476",0
20210421T,"$43,064,103,591","$43,064,103,591","$43,064,103,591","$43,064,103,591",0
20210422T,"$39,871,679,938","$39,871,679,938","$39,871,679,938","$39,871,679,938",0
20210423T,"$34,105,735,063","$34,105,735,063","$34,105,735,063","$34,105,735,063",0
20210424T,"$32,231,128,597","$32,231,128,597","$32,231,128,597","$32,231,128,597",0
20210425T,"$34,979,989,822","$34,979,989,822","$34,979,989,822","$34,979,989,822",0
20210426T,"$33,051,358,530","$33,051,358,530","$33,051,358,530","$33,051,358,530",0
20210427T,"$35,161,130,279","$35,161,130,279","$35,161,130,279","$35,161,130,279",0
20210428T,"$35,151,669,025","$35,151,669,025","$35,151,669,025","$35,151,669,025",0
20210429T,"$41,743,974,978","$41,743,974,978","$41,743,974,978","$41,743,974,978",0
20210430T,"$39,626,179,177","$39,626,179,177","$39,626,179,177","$39,626,179,177",0
20210501T,"$43,856,109,573","$43,856,109,573","$43,856,109,573","$43,856,109,573",0
20210502T,"$50,748,955,079","$50,748,955,079","$50,748,955,079","$50,748,955,079",0
20210503T,"$49,014,916,719","$49,014,916,719","$49,014,916,719","$49,014,916,719",0
20210504T,"$57,139,646,560","$57,139,646,560","$57,139,646,560","$57,139,646,560",0
20210505T,"$71,252,122,862","$71,252,122,862","$71,252,122,862","$71,252,122,862",0
